year,Albania,Austria,Belgium,Bulgaria,Bosnia and Herzegovina,Belarus,Switzerland,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Kosovo,Lithuania,Luxembourg,Latvia,Moldova,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Republic of Serbia,Slovakia,Slovenia,Sweden,Ukraine,Europe
2001,115110700.0,15992066.0,0.0,7601921500.0,134751970.0,721038400.0,0.0,5795782.0,0.0,0.0,1367429200.0,697640.0,8908331.0,235426850.0,56616212.0,1216577900.0,487328830.0,1122020700.0,4185843.0,0.0,2413139000.0,39550856.0,15562744.0,0.0,50176440.0,1351652000.0,111568830.0,62197344.0,0.0,11054921.0,132981040.0,990703360.0,6610198500.0,713632700.0,18245980.0,0.0,0.0,27417117000.0,53031584000.0
2002,21895182.0,9391316.0,0.0,980024060.0,32628110.0,2961269800.0,0.0,26885992.0,2200249.0,0.0,1609886200.0,64075590.0,12128209.0,248682050.0,59836096.0,425882800.0,118169590.0,222762000.0,5205472.0,0.0,945732350.0,5634789.0,200974130.0,0.0,156164130.0,342809860.0,61392372.0,0.0,1985592.0,4239507.0,309537760.0,1260475600.0,793324740.0,319519400.0,50820430.0,0.0,87044070.0,19526531000.0,30867110000.0
2003,306317900.0,14274798.0,6708083.0,2510969600.0,1103023500.0,1702243200.0,5098142.0,7942368.0,18192316.0,6117771.0,2677276400.0,32574446.0,27100644.0,725707260.0,457705920.0,457598600.0,635335940.0,1075922800.0,23183132.0,0.0,2754607400.0,58494490.0,290916100.0,0.0,158525380.0,40999796.0,82267930.0,114896050.0,8049697.0,89941980.0,563908200.0,4766764000.0,1228759800.0,1543556700.0,69442060.0,1502610.0,20446228.0,4935378000.0,28521750000.0
2004,46205270.0,21358532.0,321988.0,4950672400.0,46527256.0,381985100.0,0.0,17548342.0,3595529.0,6064104.0,2652537000.0,15455419.0,19694928.0,132444380.0,36277304.0,760696600.0,163677220.0,654333200.0,0.0,0.0,2904868000.0,75184200.0,82160590.0,0.0,32359784.0,532353440.0,103841120.0,1395281.0,0.0,13201502.0,78994376.0,1433651500.0,4240313300.0,1058535550.0,134805630.0,858634.0,5151806.0,13538843000.0,34145913000.0
2005,154876220.0,38155576.0,375652.0,2299370000.0,57689510.0,366690600.0,0.0,36116316.0,0.0,2414909.0,1785155100.0,0.0,8532679.0,223405970.0,24149094.0,370769150.0,186001730.0,529884860.0,0.0,214658.0,1126743300.0,82160590.0,28871588.0,0.0,804970.0,680736260.0,85326810.0,4024849.0,0.0,37672590.0,89512640.0,3957554400.0,3162673400.0,693508400.0,88385700.0,4454167.0,37350600.0,23633650000.0,39797228000.0
2006,57152864.0,37296940.0,1019628.0,4037407200.0,53289004.0,1648471000.0,0.0,14543122.0,3541867.0,4668824.0,1551767400.0,45722284.0,42073090.0,30213200.0,34882020.0,389229800.0,158257090.0,383594980.0,6332430.0,71213016.0,1309310500.0,25490714.0,155466510.0,0.0,118276890.0,595624100.0,149456080.0,57689510.0,8961997.0,24149096.0,51464404.0,844145150.0,3283955500.0,838134700.0,43575704.0,268323.0,69656720.0,19600753000.0,35747054000.0
2007,1626844300.0,6064106.0,4454167.0,2359581700.0,537827260.0,345224740.0,1878262.0,1502609.0,751305.0,1717269.0,638502140.0,2468574.0,2683231.0,116184000.0,227377150.0,3140831700.0,579578400.0,327139780.0,58440816.0,1556275.0,4300310500.0,414452220.0,57904176.0,0.0,2414910.0,657123840.0,640541440.0,591223600.0,0.0,6332429.0,36330972.0,356065060.0,2446786800.0,1447765200.0,56294230.0,0.0,9176655.0,22170320000.0,43173650000.0
2008,308303500.0,10035292.0,2414909.0,2693751600.0,136147230.0,286569280.0,0.0,5795783.0,11752560.0,965962.0,295370270.0,13147841.0,43897690.0,39336200.0,78833390.0,978950800.0,490387700.0,747763460.0,7459387.0,482982.0,3105037600.0,82643580.0,21412196.0,0.0,0.0,2156407300.0,222815680.0,83019230.0,0.0,56347892.0,24095428.0,137274180.0,7371485700.0,1776407800.0,40355824.0,0.0,26349344.0,40995620000.0,62250640000.0
2009,145055580.0,0.0,0.0,1544093400.0,162764930.0,765794700.0,0.0,6708081.0,2253914.0,0.0,1010827600.0,8479014.0,7244728.0,161315970.0,146558190.0,747548740.0,377584580.0,520708220.0,3863855.0,0.0,1502664300.0,124502024.0,136469230.0,0.0,34238052.0,759193900.0,78779720.0,28281276.0,2253914.0,2200250.0,50874092.0,991400960.0,3895786500.0,2380994000.0,11430571.0,0.0,6654414.0,26184278000.0,41800802000.0
2010,171404930.0,1287952.0,0.0,1075600900.0,48888504.0,255229120.0,0.0,1878262.0,6278765.0,0.0,402377600.0,1717268.0,18138656.0,32950100.0,100567570.0,208272560.0,92678870.0,58440812.0,49908132.0,4561495.0,2252467000.0,80604320.0,16743375.0,0.0,321988.0,470692770.0,120423500.0,52323040.0,1824598.0,41160790.0,32037796.0,1646539400.0,4492859400.0,538685900.0,27154320.0,0.0,1341616.0,13159649000.0,25465012000.0
2011,649396160.0,74915870.0,12825855.0,2655435000.0,301971040.0,118384240.0,0.0,22700150.0,26564006.0,0.0,1179066400.0,0.0,15455419.0,51464400.0,161423300.0,1354925400.0,470692740.0,415793800.0,16743368.0,0.0,2276562400.0,450568500.0,47332236.0,0.0,14865112.0,899205200.0,384024350.0,267196380.0,0.0,3166214.0,22431824.0,832500000.0,6419528000.0,3946231300.0,39604520.0,0.0,8961995.0,15415335000.0,38555270000.0
2012,811678100.0,2522239.0,0.0,2946995200.0,1143272100.0,646820200.0,4454166.0,9605971.0,0.0,0.0,1926722600.0,1073293.0,751304.0,118545250.0,95791410.0,958826600.0,759730700.0,528006600.0,7996034.0,1395281.0,3014719700.0,251687280.0,19319276.0,0.0,3273544.0,284852060.0,309913440.0,689215300.0,1234287.0,14221136.0,59245772.0,1013188860.0,6116698000.0,2842134300.0,38048244.0,0.0,8318019.0,10459242000.0,35089500000.0
